שם המפלגה,קולות מקוריים,מנדטים סופיים,סטטוס כניסה
הליכוד,1115336,28,עברה ישירות בקלפי
יש עתיד,847435,22,עברה ישירות בקלפי
הציונות הדתית,516470,13,עברה ישירות בקלפי
המחנה הממלכתי,432482,10,עברה ישירות בקלפי
שס,392964,9,עברה ישירות בקלפי
העבודה,175992,8,עברה ישירות בקלפי
יהדות התורה,280194,7,עברה ישירות בקלפי
ישראל ביתנו,213687,5,עברה ישירות בקלפי
"חד""ש תע""ל",178735,4,עברה ישירות בקלפי
"רע""מ",194047,4,עברה ישירות בקלפי
חופש כלכלי,15801,1,נכנסה כמושב מחאה פנוי
הבית היהודי,56775,1,נכנסה כמושב מחאה פנוי
"בל""ד",138617,1,נכנסה כמושב מחאה פנוי
הכלכלית החדשה,13920,1,נכנסה כמושב מחאה פנוי
מרצ,150793,1,נכנסה כמושב מחאה פנוי
הפיראטים,1728,1,נכנסה כמושב מחאה פנוי
צעירים בוערים,8800,1,נכנסה כמושב מחאה פנוי
רשימת ק,1618,1,נכנסה כמושב מחאה פנוי
רשימת קץ,14694,1,נכנסה כמושב מחאה פנוי
רשימת ת,1524,1,נכנסה כמושב מחאה פנוי
